,title,lyrics
60,If Tomorrow Never Comes, Sometimes late at night I lie awake and watch him sleeping He's lost in peaceful dreams So I turn out the lights and lay there in the dark And the thought crosses my mind If I never wake up in the morning Would he ever doubt the way I feel About him in my heart If tomorrow never comes Will he know how much I loved him Did I try in every way to show him every day That he's my only one And if my time on earth were through And he must face the world without me Is the love I gave him in the past Gonna be enough to last If tomorrow never comes 'Cause I've lost loved ones in my life Who never knew how much I loved them Now I live with the regret That my true feelings for them never were revealed So I made a promise to myself To say each day how much he means to me And avoid the circumstance Where there's no second chance to tell him how I feel So tell that someone that you love Just what you're thinking of If tomorrow never comes
61,Índios," Quem me dera ao menos uma vez Ter de volta todo o ouro que entreguei a quem Conseguiu me convencer que era prova de amizade Se alguém levasse embora até o que eu não tinha Quem me dera ao menos uma vez Esquecer que acreditei que era por brincadeira Que se cortava sempre um pano de chão De linho nobre e pura seda Quem me dera ao menos uma vez Explicar o que ninguém consegue entender Que o que aconteceu ainda está por vir E o futuro não é mais como era antigamente Quem me dera ao menos uma vez Provar que quem tem mais do que precisa ter Quase sempre se convence que não tem o bastante Fala demais por não ter nada a dizer Quem me dera ao menos uma vez Que o mais simples fosse visto como o mais importante Mas nos deram espelhos E vimos um mundo doente Quem me dera ao menos uma vez Entender como um só Deus ao mesmo tempo é três E esse mesmo Deus foi morto por vocês É só maldade então, deixar um Deus tão triste Eu quis o perigo e até sangrei sozinho, entenda Assim pude trazer você de volta pra mim Quando descobri que é sempre só você Que me entende do início ao fim E é só você que tem a Cura pro meu vício de insistir Nessa saudade que eu sinto De tudo que eu ainda não vi Quem me dera ao menos uma vez Acreditar por um instante em tudo que existe Acreditar que o mundo é perfeito E que todas as pessoas são felizes Quem me dera ao menos uma vez Fazer com que o mundo saiba que seu nome Está em tudo e mesmo assim Ninguém lhe diz ao menos obrigado Quem me dera ao menos uma vez Como a mais bela tribo Dos mais belos índios Não ser atacado por ser inocente Eu quis o perigo e até sangrei sozinho, entenda Assim pude trazer você de volta pra mim Quando descobri que é sempre só você Que me entende do início ao fim E é só você que tem a Cura pro meu vício de insistir Nessa saudade que eu sinto De tudo que eu ainda não vi Nos deram espelhos e vimos um mundo doente Tentei chorar e não consegui"
62,Juizo Final, O sol Há de brilhar mais uma vez A Luz Há de entrar nos corações Do mal Será cortada a semente O amor Será eterno novamente É o juizo final A história do bem e do mal Quero ter olhos pra ver A maldade desaparecer O sol Há de brilhar mais uma vez A Luz Há de entrar nos corações Do mal Será cortada a semente O amor Será eterno novamente É o juizo final A história do bem e do mal Quero ter olhos pra ver A maldade desaparecer
63,L'Âge D'Or," Aprendi a esperar Mas não tenho mais certeza Agora que estou bem Tão pouca coisa me interessa Contra minha própria vontade Sou teimoso, sincero E insisto em ter vontade própria Se a sorte foi um dia alheia ao meu sustento Não houve harmonia entre ação e pensamento Qual é teu nome? Qual é teu signo? Teu corpo é gostoso, teu rosto é bonito Qual é o teu arcano? Tua pedra preciosa? Acho tocante acreditares nisso Já tentei muitas coisas De heroína a Jesus Tudo que já fiz foi por vaidade Jesus foi traído com um beijo Davi teve um grande amigo Não sei mais Se é só questão de sorte Eu vi uma serpente entrando no jardim Vai ver que é de verdade dessa vez Meu tornozelo coça por causa de mosquito Estou com os cabelos molhados, me sinto limpo Não existe beleza na miséria E não tem volta por aqui Vamos tentar outro caminho Estamos em perigo, só que ainda não entendo É que tudo faz sentido E não sei mais Se é só questão de sorte Não sei mais Não sei mais Não sei mais Oh! Oh! Oh! Oh! Lá vem os jovens gigantes de mármore Oh! Oh! Oh! Oh! Trazendo anzóis nas palmas da mão Oh! Oh! Oh! Oh!... Não é belo todo e qualquer mistério? Oh! Oh! Oh! Oh! O maior segredo é não haver mistério algum"
64,L'Avventura," Quando não há compaixão Ou mesmo um gesto de ajuda O que pensar da vida E daqueles que sabemos que amamos ? Quem pensa por si mesmo é livre E ser livre é coisa muito séria Não se pode fechar os olhos Não se pode olhar pra trás Sem se aprender alguma coisa pro futuro Corri pro esconderijo Olhei pela janela O sol é um só Mas quem sabe são duas manhãs Não precisa vir Se não for pra ficar Pelo menos uma noite E três semanas Nada é fácil Nada é certo Não façamos do amor Algo desonesto Quero ser prudente E sempre ser correto Quero ser constante E sempre tentar ser sincero E queremos fugir Mas ficamos sempre sem saber Seu olhar Não conta mais histórias Não brota o fruto e nem a flor E nem o céu é belo e prateado E o que eu era eu não sou mais E não tenho nada pra lembrar Triste coisa é querer bem A quem não sabe perdoar Acho que sempre lhe amarei Só que não lhe quero mais Não é desejo, nem é saudade Sinceramente, nem é verdade Eu sei porque você fugiu Mas não consigo entender Eu sei porque você fugiu Mas não consigo entender"
65,La Maison Dieu," Se dez batalhões viessem à minha rua E 20 mil soldados batessem à minha porta A sua procura Eu não diria nada Porque lhe dei minha palavra Teu corpo branco já pegando pêlo Me lembra o tempo em que você era pequeno Não pretendo me aproveitar E de qualquer forma quem volta Sozinho pra casa sou eu Sexo compra dinheiro e companhia Mas nunca amor e amizade, eu acho E depois de um dia difícil Pensei ter visto você Entrar pela minha janela e dizer Eu sou a tua morte Vim conversar contigo Vim te pedir abrigo Preciso do teu calor Eu sou Eu sou Eu sou A pátria que lhe esqueceu O carrasco que lhe torturou O general que lhe arrancou os olhos O sangue inocente De todos os desaparecidos O choque elétrico e os gritos Parem por favor, isto dói Eu sou Eu sou Eu sou A tua morte E vim lhe visitar como amigo Devemos flertar com o perigo Seguir nossos instintos primitivos Quem sabe não serão estes Nossos últimos momentos divertidos? Eu sou a lembrança do terror De uma revolução de merda De generais e de um exército de merda Não, nunca poderemos esquecer Nem devemos perdoar Eu não anistiei ninguém Abra os olhos e o coração Estejamos alertas Porque o terror continua Só mudou de cheiro E de uniforme Eu sou a tua morte E lhe quero bem Esqueça o mundo, vim lhe explicar o que virá Porque eu sou Eu sou Eu sou"
66,La Nuova Gioventú," Tudo que sei é que você quis partir Eu quis partir você, tirar você de mim Demorei para esquecer, demorei para encontrar Um lugar onde você não me machucasse mais E guardei um pouco Porque o tempo é mercúrio-cromo E tempo é tudo que somos Talvez tivéssemos, teríamos tido, tivéramos filhos Estava lhe ensinando a ler On The Road e coisas desiguais Com você por perto Eu gostava mais de mim Com você por perto Eu gostava mais de mim Com você por perto Eu gostava mais de mim Com você por perto Eu gostava mais de mim Veja bem, eu já não sei Se estou bem só por dizer Só por dizer é que finjo que sei Não me olhe assim, eu sou parte de você Você não é parte de mim Do meu passado você faz pouco caso Mas só para você saber Me diverti um bocado E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim E com você por perto Eu gostava mais de mim"
67,La Solitudine," Marco se n'è andato e non ritorna più E il treno delle 7:30 senza lui È un cuore di metallo senza l'anima Nel freddo del mattino grigio di città A scuola il banco è vuoto, marco è dentro me È dolce il suo respiro fra I pensiere miei Distanze enormi sembrano dividerci Ma il cuore batte forte dentro me Chissà se tu mi penserai Se con I tuoi non parli mai Se ti nascondi come me Sfuggi gli sguardi e te ne stai Rinchiuso in camera e non vuoi mangiare Stringi forte a te il cuscino Piangi e non lo sai quanto altro male ti farà la solitudine Marco nel mio diario ho una fotografia Hai gli occhi di bambino un poco timido La stringo forte al cuore e sento che ci sei Fra I compiti d'inglese e matematica Tuo padre e I suoi consigli che monotonia Lui con il suo lavoro ti ha portato via Di certo il tuo parere non l'ha chiesto mai Ha detto ""un giorno tu mi capirai"" Chissà se tu mi penserai Se con gli amici parlerai Per non soffrire più per me Ma non è facile lo sai A scuola non ne posso più E I pomeriggi senza te Studiare è inutile tutte le idee si affollano su te Non è possibile dividere la vita di noi due Ti prego aspettami amore mio... Ma illuderti non so! La solitudine fra noi Questo silenzio dentro me È l'inquietudine di vivere la vita senza te Ti prego aspettami perché Non posso stare senza te Non è possibile dividere la storia di noi due La solitudine fra noi Questo silenzio dentro me È l'inquietudine di vivere la vita senza te Ti prego aspettami perché Non posso stare senza te Non è possibile dividere la storia di noi due la solitudine"
68,Leila," Estou pensando em você Quero lhe ver Mas nesse horário você deve estar Pegando os filhotes no colégio Depois chegar em casa Ver o resto de tudo E quando vem o silêncio Fumar unzinho e ouvir Coltrane Não faço mais isso mas entendo muito bem Adoro os teus cabelos Adoro a tua voz Adoro teu estilo Adoro tua paz de espírito O encanador te deixou na mão Tem reunião do condomínio O telefone não dá linha E o chuveiro tá dando choque Tem uma barata voadora no quarto das crianças E os monstrinhos estão gritando alucinados P'rá eles tudo é diversão Mas você sabe o que é ter pavor, pavor, pavor De baratas voadoras E você diz daquele seu jeito: - Ai, eu preciso de um homem! - E eu digo: - Ah, Leila, eu também! - E a gente ri Você monta suas fotos prá exposição Promete trabalhar mais com o computador E terminar seu vídeo até setembro Ter que pegar o carro no conserto Ver a conta do banco, cartão, IPTU Sábado vai ter peixada na Analú E domingo, cachorro-quente com as crianças na Fernanda Adoro teu olhar Adoro tua força E adoro dizer seu nome: Leila Às vezes as coisas são difíceis, minha amiga Mas você sabe enfrentar a beleza dessa vida Adoro dizer seu nome: Lei.....la, Leila"
69,Longe do Meu Lado," Se a paixão fosse realmente um bálsamo O mundo não pareceria tão equivocado Te dou carinho, respeito e um afago Mas entenda, eu não estou apaixonado A paixão já passou em minha vida Foi até bom mas ao final deu tudo errado E agora carrego em mim Uma dor triste, um coração cicatrizado E olha que tentei o meu caminho Mas tudo agora é coisa do passado Quero respeito e sempre ter alguém Que me entenda e sempre fique a meu lado Mas não, não quero estar apaixonado A paixão quer sangue e corações arruinados E saudade é só mágoa por ter sido feito tanto estrago E essa escravidão e essa dor não quero mais Quando acreditei que tudo era um fato consumado Veio a foice e jogou-te longe Longe do meu lado Não estou mais pronto para lágrimas Podemos ficar juntos e vivermos o futuro, não o passado Veja o nosso mundo Eu também sei que dizem Que não existe amor errado Mas entenda, não quero estar apaixonado"
70,Love In The Afternoon," É tão estranho Os bons morrem jovens Assim parece ser Quando me lembro de você Que acabou indo embora Cedo demais Quando eu lhe dizia Me apaixono todo dia É sempre a pessoa errada Você sorriu e disse Eu gosto de você também Só que você foi embora Cedo demais! Eu continuo aqui Meu trabalho e meus amigos E me lembro de você Dias assim Dia de chuva Dia de Sol E o que sinto não sei dizer Vai com os anjos Vai em paz Era assim todo dia de tarde A descoberta da amizade Até a próxima vez É tão estranho Os bons morrem antes Me lembro de você E de tanta gente que se foi Cedo demais! E cedo demais Eu aprendi a ter Tudo o que sempre quis Só não aprendi a perder E eu que tive um começo feliz Do resto não sei dizer Lembro das tardes que passamos juntos Não é sempre, mas eu sei Que você está bem agora Só que neste ano O verão acabou Cedo demais!"
71,Love Song, Pois nasci nunca vi amor E ouço del sempre falar Pero sei que me quer matar Mais rogarei a mia Senhor Que me mostr'aquel matador Ou que m'ampare del melhor
72,Mais do Mesmo," Ei menino branco, o que é que você faz aqui? Subindo o morro pra tentar se divertir Mas já disse que não tem e você ainda quer mais Por que você não me deixa em paz? Por que você não me deixa em paz? Desses vinte anos nenhum foi feito pra mim E agora você quer que eu fique assim igual a você É mesmo, como vou crescer se nada cresce por aqui? Quem vai tomar conta dos doentes Quando se tem chacina de adolescente? Como é que você se sente? Como é que você se sente? Em vez de luz tem tiroteio no fim do túnel Sempre mais do mesmo Não era isso que você queria ouvir? Bondade sua me explicar com tanta determinação Exatamente o que eu sinto, como eu penso e como sou Eu realmente não sabia que eu pensava assim E agora você quer Um retrato do país Mas queimaram o filme Queimaram o filme E enquanto isso, na enfermaria Todos os doentes estão cantando Sucessos populares (E todos os índios foram mortos)"
73,Marcianos Invadem a Terra," Diga adeus e atravesse a rua Voamos alto depois das duas Mas as cervejas acabaram e os cigarros também Cuidado com a coisa coisando por aí A coisa coisa sempre e também coisa por aqui Sequestra o seu resgate, envenena a sua atenção É verbo e substantivo/adjetivo e palavrão E o carinha do rádio não quer calar a boca E quer o meu dinheiro e as minhas opiniões Ora, se você quiser se divertir Invente suas próprias canções Será que existe vida em Marte? Janelas de hotéis Garagens vazias Fronteiras Granadas Lençóis E existem muitos formatos Que só têm verniz e não tem invenção E tudo aquilo contra o que sempre lutam É exatamente tudo aquilo o que eles são Marcianos invadem a Terra Estão inflando o meu ego com ar E quando acho que estou quase chegando Tenho que dobrar mais uma esquina E mesmo se eu tiver a minha liberdade Não tenho tanto tempo assim E mesmo se eu tiver a minha liberdade: Será que existe vida em Marte?"
74,Mariane, I've been working all day I've been thinking a lot I've been doing some things That are not quite right I've been thinking about you I've been thinking about you When will you return? I've been working all day I've been thinking a lot I've been lost in the morning I don't know what it costs Will you find me there? And I guess it's just a phase I don't know where I'm going And I guess it's just a phase I don't know where I'm going And I guess it's just a phase I don't know where I'm going And I guess it's just a phase I don't know where I'm going I've been working all day I've been thinking a lot I've been lost in the morning I don't know what it costs I don't think about you I will be able to do Will you let me be? And I don't know where I'm going I guess it's just a phase And I don't know where I'm going I guess it's just a phase And I don't know where I'm going I guess it's just a phase And I don't know where I'm going I guess it's just a phase
75,Mariane (Versão Poema)," Eu tenho trabalhado tanto Eu tenho pensado muito Eu tenho feito algumas coisas fora do comum Isso não é certo Eu tenho pensado em você Quando você vai voltar pra mim?     Eu tenho trabalhado todos os dias Eu tenho pensado muito em você Eu estive perdido pela manhã Eu não sei o que fazer sem você Quando eu vou te ver mais uma vez?   Eu sei isso é apenas uma fase Eu não sei aonde eu vou Eu não me preocupo, pois é só uma fase. Isso passa   Eu tenho trabalhado muito Eu tenho pensado em nós Eu estive perdido pela manhã Eu não sei mais o que fazer Eu não quero mais pensar em você Eu deixarei você partir pra sempre Você me deixará aqui sozinho?   E eu não faço idéia pra onde vou Mas não me preocupo muito com isso Eu sei isso não passa de uma má fase Um dia você vai voltar pra mim E novamente vamos ser felizes   Isso é apenas uma fase"
76,Maurício," Já não sei dizer se ainda sei sentir O meu coração já não me pertence Já não quer mais me obedecer Parece agora estar tão cansado quanto eu Até pensei que era mais por não saber Que ainda sou capaz de acreditar Me sinto tão só E dizem que a solidão até que me cai bem Às vezes faço planos Às vezes quero ir Pra algum país distante Voltar a ser feliz Já não sei dizer o que aconteceu Se tudo que sonhei foi mesmo um sonho meu Se meu desejo então já se realizou O que fazer depois, pra onde é que eu vou? Eu vi você voltar pra mim Eu vi você voltar pra mim Eu vi você voltar pra mim Eu vi você voltar pra mim"
77,Meninos e Meninas," Quero me encontrar, mas não sei onde estou Vem comigo procurar algum lugar mais calmo Longe dessa confusão e dessa gente que não se respeita Tenho quase certeza que eu não sou daqui Acho que gosto de São Paulo e gosto de São João Gosto de São Francisco e São Sebastião E eu gosto de meninos e meninas Vai ver que é assim mesmo e vai ser assim pra sempre Vai ficando complicado e ao mesmo tempo diferente Estou cansado de bater e ninguém abrir Você me deixou sentindo tanto frio Não sei mais o que dizer Te fiz comida, velei teu sono Fui teu amigo, te levei comigo E me diz: pra mim o que é que ficou? Me deixa ver como viver é bom Não é a vida como está, e sim as coisas como são Você não quis tentar me ajudar Então, a culpa é de quem? A culpa é de quem? Eu canto em português errado Acho que o imperfeito não participa do passado Troco as pessoas, troco os pronomes Preciso de oxigênio, preciso ter amigos Preciso ter dinheiro, preciso de carinho Acho que te amava, agora acho que te odeio São tudo pequenas coisas e tudo deve passar Acho que gosto de São Paulo e gosto de São João Gosto de São Francisco e São Sebastião E eu gosto de meninos e meninas"
78,Metal Contra as Nuvens," Não sou escravo de ninguém Ninguém, senhor do meu domínio Sei o que devo defender E, por valor eu tenho E temo o que agora se desfaz Viajamos sete léguas Por entre abismos e florestas Por Deus nunca me vi tão só É a própria fé o que destrói Estes são dias desleais Eu sou metal, raio, relâmpago e trovão Eu sou metal, eu sou o ouro em seu brasão Eu sou metal, me sabe o sopro do dragão Reconheço meu pesar Quando tudo é traição O que venho encontrar É a virtude em outras mãos Minha terra é a terra que é minha E sempre será Minha terra tem a lua, tem estrelas E sempre terá Quase acreditei na sua promessa E o que vejo é fome e destruição Perdi a minha sela e a minha espada Perdi o meu castelo e minha princesa Quase acreditei, quase acreditei E, por honra, se existir verdade Existem os tolos e existe o ladrão E há quem se alimente do que é roubo Mas vou guardar o meu tesouro Caso você esteja mentindo Olha o sopro do dragão É a verdade o que assombra O descaso que condena A estupidez, o que destrói Eu vejo tudo que se foi E o que não existe mais Tenho os sentidos já dormentes O corpo quer, a alma entende Esta é a terra de ninguém Sei que devo resistir Eu quero a espada em minhas mãos Eu sou metal, raio, relâmpago e trovão Eu sou metal, eu sou o ouro em seu brasão Eu sou metal, me sabe o sopro do dragão Não me entrego sem lutar Tenho, ainda, coração Não aprendi a me render Que caia o inimigo então Tudo passa, tudo passará E nossa história não estará pelo avesso Assim, sem final feliz Teremos coisas bonitas pra contar E até lá, vamos viver Temos muito ainda por fazer Não olhe pra trás Apenas começamos O mundo começa agora Apenas começamos"
79,Metrópole," É sangue mesmo, não é Merthiolate E todos querem ver e comentar a novidade É tão emocionante um acidente de verdade Estão todos satisfeitos com o sucesso do desastre Vai passar na televisão Vai passar na televisão Por gentileza, aguarde um momento Sem carteirinha não tem atendimento Carteira de trabalho assinada, sim senhor Olha o tumulto: façam fila por favor Todos com a documentação Todos com a documentação Quem não tem senha não tem lugar marcado Eu sinto muito mas já passa do horário Entendo seu problema mas não posso resolver É contra o regulamento, está bem aqui, pode ver Ordens são ordens Ordens são ordens Ordens são ordens Ordens são ordens Ordens são ordens Ordens são ordens Em todo caso já temos sua ficha Só falta o recibo comprovando residência Pra limpar todo esse sangue, chamei a faxineira E agora eu já vou indo senão perco a novela E eu não quero ficar na mão E eu não quero ficar na mão E eu não quero ficar na mão E eu não quero ficar na mão"
80,Meu Erro, Eu quis dizer Você não quis escutar Agora não peça Não me faça promessas... Eu não quero te ver Nem quero acreditar Que vai ser diferente Que tudo mudou... Você diz não saber O que houve de errado E o meu erro foi crer Que estar ao seu lado Bastaria! Ah! Meu Deus! Era tudo o que eu queria Eu dizia o seu nome Não me abandone... Mesmo querendo Eu não vou me enganar Eu conheço os seus passos Eu vejo os seus erros Não há nada de novo Ainda somos iguais Então não me chame Não olhe pra trás... Você diz não saber O que houve de errado E o meu erro foi crer Que estar ao seu lado Bastaria! Ah! Meu Deus! Era tudo o que eu queria Eu dizia o seu nome Não me abandone jamais... Mesmo querendo Eu não vou me enganar Eu conheço os seus passos Eu vejo os seus erros Não há nada de novo Ainda somos iguais Então não me chame Não olhe pra trás... Você diz não saber O que houve de errado E o meu erro foi crer Que estar ao seu lado Bastaria! Ah! Meu Deus! Era tudo o que eu queria Eu dizia o seu nome Não me abandone jamais... Não me abandone jamais
81,Mil Pedaços," Eu não me perdi E mesmo assim você me abandonou Você quis partir, e agora estou sozinho Mas vou me acostumar com o silêncio em casa, com um prato só na mesa Eu não me perdi O sândalo perfuma o machado que o feriu Adeus, adeus, adeus meu grande amor E tanto faz de tudo o que ficou Guardo um retrato teu E a saudade mais bonita Eu não me perdi E mesmo assim ninguém me perdoou Pobre coração, quando o teu estava comigo era tão bom Não sei porquê acontece assim e é sem querer O que não era pra ser Vou fugir dessa dor Meu amor, se quiseres voltar Volta não, porque me quebraste em mil pedaços"
82,Monte Castelo," Ainda que eu falasse A língua dos homens E falasse a língua dos anjos Sem amor eu nada seria É só o amor! É só o amor Que conhece o que é verdade O amor é bom, não quer o mal Não sente inveja ou se envaidece O amor é o fogo que arde sem se ver É ferida que dói e não se sente É um contentamento descontente É dor que desatina sem doer Ainda que eu falasse A língua dos homens E falasse a língua dos anjos Sem amor eu nada seria É um não querer mais que bem querer É solitário andar por entre a gente É um não contentar-se de contente É cuidar que se ganha em se perder É um estar-se preso por vontade É servir a quem vence, o vencedor É um ter com quem nos mata a lealdade Tão contrário a si é o mesmo amor Estou acordado e todos dormem Todos dormem, todos dormem Agora vejo em parte Mas então veremos face a face É só o amor! É só o amor Que conhece o que é verdade Ainda que eu falasse A língua dos homens E falasse a língua dos anjos Sem amor eu nada seria"
83,Música Ambiente," Se um dia fores embora Te amarei bem mais do que esta hora Me lembrarei de tudo que eu não disse E de quando havia tudo que existe Quando choramos abraçados E caminhamos lado a lado Por favor amor me acredite Não há palavras para explicar o que eu sinto Mesmo que tenhamos planejado Um caminho diferente Tenho mais do que eu preciso Estar contigo é o bastante Certas coisas de todo dia Nos trazem a alegria De caminharmos juntos lado a lado por amor E quando eu for embora Não, não chore por mim."
84,Música de Trabalho, Sem trabalho eu não sou nada Não tenho dignidade Não sinto o meu valor Não tenho identidade Mas o que eu tenho É só um emprego E um salário miserável Eu tenho o meu ofício Que me cansa de verdade Tem gente que não tem nada E outros que tem mais do que precisam Tem gente que não quer saber de trabalhar Mas quando chega o fim do dia Eu só penso em descansar E voltar p'ra casa pros teus braços Quem sabe esquecer um pouco De todo o meu cansaço Nossa vida não é boa E nem podemos reclamar Sei que existe injustiça Eu sei o que acontece Tenho medo da polícia Eu sei o que acontece Se você não segue as ordens Se você não obedece E não suporta o sofrimento Está destinado a miséria Mas isso eu não aceito Eu sei o que acontece Mas isso eu não aceito Eu sei o que acontece Quando chega o fim do dia Eu só penso em descansar E voltar p'ra casa pros teus braços Quem sabe esquecer um pouco Do pouco que não temos Quem sabe esquecer um pouco De tudo que não sabemos
85,Música Urbana 2," Em cima dos telhados as antenas de TV tocam música urbana, Nas ruas os mendigos com esparadrapos podres cantam música urbana, Motocicletas querendo atenção às três da manhã - É só música urbana. Os PMs armados e as tropas de choque vomitam música urbana E nas escolas as crianças aprendem a repertir a música urbana. Nos bares os viciados sempre tentam conseguir a música urbana. O vento forte, seco e sujo em cantos de concreto Parece música urbana. E a matilha de crianças sujas no meio da rua - Música urbana. E nos pontos de ônibus estão todos ali: música urbana. Os uniformes Os cartazes Os cinemas E os lares Nas favelas Coberturas Quase todos os lugares. E mais uma criança nasceu. Não há mais mentiras nem verdades aqui Só há música urbana. Yeah, Música urbana. Oh Ohoo, Música urbana."
86,My Girl, I've got sunshine on a cloudy day When it's cold outside I've got the month of may I guess you'll say What can make me feel this way My girl Talking about my girl My girl I've got so much honey The bees envy me I've got a sweeter song Than the birds in the trees Well I guess you'll say What can make me feel this way My girl Talking about my girl My girl I don't need no money Fortune or fame I've got all the riches baby One man can claim Well I guess you'll say What can make me feel this way My girl Talking about my girl My girl I've got sunshine on a cloudy day My girl I've even got the month of may with my girl
87,Nada Por Mim," Você me tem Fácil demais Não parece capaz De cuidar do que possui Você sorriu e me propôs Que eu te deixasse em paz Me disse vá Eu não fui Não faça assim Não faça nada por mim Não vá pensando que sou seu Você me diz o que fazer E não procura entender Que eu faço só pra te agradar Me diz até o que vestir Com quem andar, pra onde ir E não me pede pra voltar Não faça assim Não faça nada por mim Não vai pensando que sou seu"
88,Não Mais Que Três Semanas," Não mais que três semanas E sempre um sorriso quando lembro: Foi ano passado. (Tão correto e tão bonito- O tempo é realmente um dos deuses mais lindos). E veio forte a armadilha Forte como o desempate: ""One-night stands"", fotografias, Ponte-aérea, enrevistas. O trabalho? Quase férias! E então quase rotina. As ciladas eam rimas E a resposta um toca-fitas. Tenho estado distraído E até contente e sem juízo. E mesmo assim sei, por instinto: Muitos sentem o que eu sinto. Impacientes e indecisos Cada um com seus motivos - Sem trabalho? Sem alívio. A armadilha é só isso. É um feitiço tão latino E essa preguiça é um feitiço: Um exílio pelo avesso Que desvia o compromisso"
89,Natália, Vamos falar de pesticidas E de tragédias radioativas De doenças incuráveis Vamos falar de sua vida Preste atenção ao que eles dizem Ter esperança é hipocrisia A felicidade é uma mentira E a mentira é salvação Beba desse sangue imundo E você conseguirá dinheiro E quando o circo pega fogo Somos os animais na jaula Mas você só quer algodão doce Não confunda ética com éter Quando penso em você eu tenho febre Mas quem sabe um dia eu escrevo Uma canção pra você Quem sabe um dia eu escrevo Uma canção pra você É complicado estar só Quem está sozinho que o diga Quando a tristeza é sempre o ponto de partida Quando tudo é solidão É preciso acreditar num novo dia Na nossa grande geração perdida Nos meninos e meninas Nos trevos de quatro folhas A escuridão ainda é pior que essa luz cinza Mas estamos vivos ainda E quem sabe um dia eu escrevo Uma canção pra você Quem sabe um dia eu escrevo Uma canção pra você
90,No Fun, No fun to hang around Feeling that same old way No fun to Hang around Freak out for another day No fun to be alone Walking by myself No fun to be alone Feel how without nobody else May be go out Stay at home Call mama on the telephone Oh o'man
91,O Beco," No beco escuro explode a violência Eu tava preparado Descobri mil maneiras de dizer o seu nome Com amor, ódio, urgência Ou como se não fosse nada No beco escuro explode a violência Eu tava acordado Ruínas de igrejas, seitas sem nome Paixão, insônia, doença Liberdade vigiada No beco escuro explode a violência No meio da madrugada Com amor, ódio, urgência Ou como se não fosse nada Mas nada perturba o meu sono pesado Nada levanta aquele corpo jogado Nada atrapalha aquele bar ali na esquina Aquela fila de cinema Nada mais me deixa chocado Nada!"
92,O Descobrimento do Brasil," Ela me disse que trabalha no correio E que namora um menino eletricista Estou pensando em casamento Mas não quero me casar Quem modelou teu rosto? Quem viu a tua alma entrando? Quem viu a tua alma entrar? Quem são teus inimigos? Quem é de tua cria? A professora Adélia, a tia Edilamar e a tia Esperança Será que você vai saber O quanto penso em você Com o meu coração? Será que você vai saber O quanto penso em você Com o meu coração? Quem está agora ao teu lado? Quem para sempre está? Quem para sempre estará? Ela me disse que trabalha no correio E que namora um menino eletricista As famílias se conhecem bem E são amigas nesta vida Será que você vai saber O quanto penso em você Com o meu coração? Será que você vai saber O quanto penso em você Com o meu coração? A gente quer um lugar pra gente A gente quer é de papel passado Com festa, bolo e brigadeiro A gente quer um canto sossegado A gente quer um canto de sossego Estou pensando em casamento Ainda não posso me casar Eu sou rapaz direito E fui escolhido pela menina mais bonita."
93,O Grande Inverno da Rússia, Instrumental
94,O Livro Dos Dias, Ausente o encanto antes cultivado Percebo o mecanismo indiferente Que teima em resgatar sem confiança A essência do delito então sagrado Meu coração não quer deixar Meu corpo descansar E teu desejo inverso é velho amigo Já que o tenho sempre a meu lado Hoje então aceitas pelo nome O que perfeito entregas mas é tarde Só daria certo aos dois que tentam Se ainda embriagado pela fome Exatos teu perdão e tua idade O indulto a ti tomasse como bênção! Não esconda tristeza de mim Todos se afastam quando o mundo está errado Quando o que temos é um catálogo de erros Quando precisamos de carinho Força e cuidado Este é o livro das flores Este é o livro do destino Este é o livro de nossos dias Este é o dia de nossos amores
95,O Mundo Anda Tão Complicado," Gosto de ver você dormir Que nem criança com a boca aberta O telefone chega sexta-feira Aperto o passo por causa da garoa Me empresta um par de meias A gente chega na sessão das dez Hoje eu acordo ao meio-dia Amanhã é a sua vez Vem cá, meu bem, que é bom lhe ver O mundo anda tão complicado Que hoje eu quero fazer tudo por você Temos que consertar o despertador E separar todas as ferramentas Que a mudança grande chegou Com o fogão e a geladeira e a televisão Não precisamos dormir no chão Até que é bom, mas a cama chegou na terça E na quinta chegou o som Sempre faço mil coisas ao mesmo tempo E até que é fácil acostumar-se com meu jeito Agora que temos nossa casa É a chave o que sempre esqueço Vamos chamar nossos amigos A gente faz uma feijoada Esquece um pouco do trabalho E fica de bate-papo Temos a semana inteira pela frente Você me conta como foi seu dia E a gente diz um pro outro - Estou com sono, vamos dormir! Vem cá, meu bem, que é bom lhe ver O mundo anda tão complicado Que hoje eu quero fazer tudo por você Quero ouvir uma canção de amor Que fale da minha situação De quem deixou a segurança de seu mundo Por amor"
96,O Passeio da Boa Vista, [Instrumental]
97,O Que Eu Quero," Não estou mais a fim de estudar, Nem vou fazer nenhum vestibular Não estou mais a fim de me escravizar! Não vou, não vou, não vou trabalhar! O que eu quero mesmo é agitar! O que eu quero mesmo é agitar! O que eu quero mesmo é agitar!"
